*    Tilt catalog, tilts in arc-minutes.
*     For Calc 10.
*                     epoch     dir    tilt    dir    tilt  
* -------- --------  -------    ---   ------   ---   ------   -
  VLBA_SC  SC        2003.30    E-W    1.04    N-S    1.58   / 
                     1992.257   E-W    0.74    N-S   -0.72 
                     1992.383   E-W    0.59    N-S   -0.79 
                     1992.386   E-W    0.67    N-S   -0.66 
                     1992.391   E-W    0.69    N-S   -0.85 
                     1992.482   E-W    0.53    N-S   -0.85 
                     1992.498   E-W    0.51    N-S   -0.81 
                     1992.523   E-W    0.55    N-S   -0.80 
                     1992.528   E-W    0.60    N-S   -0.93 
                     1992.528   E-W    0.45    N-S   -0.92 
                     1992.501   E-W    0.56    N-S   -0.82 
                     1992.641   E-W    0.54    N-S   -0.81 
                     1992.641   E-W    0.54    N-S   -0.81 
                     1992.887   E-W    0.48    N-S   -0.96 
                     1992.903   E-W    0.53    N-S   -0.91 
                     1992.641   E-W    0.55    N-S   -0.81 
                     1992.917   E-W    0.44    N-S   -0.96 
                     1993.372   E-W    0.43    N-S   -1.00 
                     1993.753   E-W    0.32    N-S   -1.04 
                     1993.843   E-W    0.35    N-S   -1.08 
                     1993.936   E-W    0.35    N-S   -1.11 
                     1994.413   E-W    0.35    N-S   -1.19 
                     1994.654   E-W    0.32    N-S   -1.23 
                     1994.835   E-W    0.27    N-S   -1.26 
                     1995.263   E-W    0.35    N-S   -1.32 
                     1995.553   E-W    0.51    N-S   -1.37 
                     1996.099   E-W    0.42    N-S   -1.40 
                     1996.164   E-W    0.46    N-S   -1.40 
                     1996.164   E-W    0.46    N-S   -1.40 
                     1996.211   E-W    0.41    N-S   -1.37 
                     1998.334   E-W    0.90    N-S   -1.87 
                     1998.353   E-W    0.93    N-S   -1.91 
                     1998.372   E-W    0.90    N-S   -1.91 
                     1998.75    E-W    1.05    N-S   -2.15
                     1999.093   E-W    1.31    N-S   -2.39   
                     1999.397   E-W    1.57    N-S   -2.74   
                     1999.753   E-W    1.61    N-S   -2.90   
                     1999.917   E-W    1.62    N-S   -2.90   
                     2000.033   E-W    1.63    N-S   -2.98   
                     2000.263   E-W    1.71    N-S   -3.19   
                     2000.424   E-W    1.74    N-S   -3.22   
                     2000.586   E-W    1.73    N-S   -3.24   
                     2000.956   E-W    1.77    N-S   -3.34   
                     2001.189   E-W    1.82    N-S   -3.36   
                     2001.463   E-W    1.79    N-S   -3.51   
                     2001.591   E-W    1.80    N-S   -3.47   
                     2001.797   E-W    1.79    N-S   -3.42   
                     2001.923   E-W    1.75    N-S   -3.43   
                     2002.101   E-W    1.68    N-S   -3.35   
                     2002.255   E-W    1.71    N-S   -3.33   
                     2002.457   E-W    1.71    N-S   -3.39   
                     2002.589   E-W    1.70    N-S   -3.39   
                     2002.753   E-W    1.69    N-S   -3.36   
                     2002.851   E-W    1.66    N-S   -3.30   
                     2003.044   E-W    1.60    N-S   -3.28   
                     2003.260   E-W    1.62    N-S   -3.28   
                     2003.441   E-W    1.61    N-S   -3.30   
                     2003.972   E-W    1.53    N-S   -3.14   
                     2004.104   E-W    1.54    N-S   -3.09   / 
  VLBA_KP  KP        2003.30    E-W    0.17    N-S    0.11   / 
  VLBA_OV  OV        2003.30    E-W    0.20    N-S   -0.06   / 
  VLBA_BR  BR        2003.30    E-W    0.02    N-S    0.07   / 
  VLBA_MK  MK        2003.30    E-W   -0.51    N-S    0.03   / 
